Date,Close,High,Low,Open,Volume
2023/08/18,1886.099976,1891.800049,1886.099976,1891.800049,19
2023/08/21,1893.300049,1893.599976,1893.300049,1893.599976,876
2023/08/22,1896.400024,1896.800049,1892.800049,1894.599976,46
2023/08/23,1918.5,1918.5,1909.599976,1909.599976,547
2023/08/24,1918.199951,1920.800049,1918.199951,1920,337
2023/08/25,1911.099976,1919.800049,1911.099976,1919.800049,195
2023/08/28,1917.900024,1921.5,1915.5,1915.5,99
2023/08/29,1936.5,1936.5,1916.900024,1917.900024,1674
2023/08/30,1944.300049,1946.400024,1934.599976,1936,396
2023/08/31,1938.199951,1944.400024,1938.199951,1944.400024,491
2023/09/01,1939.800049,1950,1936.599976,1950,167
2023/09/05,1926.199951,1934.400024,1924.699951,1934.400024,113
2023/09/06,1918.099976,1925.300049,1916.300049,1924.099976,24
2023/09/07,1917.5,1921.5,1917.5,1917.599976,41
2023/09/08,1918.400024,1924.699951,1918.400024,1924,105
2023/09/11,1923.300049,1928.300049,1921.800049,1923,50
2023/09/12,1911.300049,1920.800049,1911.300049,1920.800049,365
2023/09/13,1909.099976,1914.599976,1908.900024,1910.300049,15
2023/09/14,1910,1910,1903,1903,169
2023/09/15,1923.699951,1927.300049,1923.5,1923.5,8
2023/09/18,1931.5,1931.5,1926.400024,1928.199951,19
2023/09/19,1932,1934,1932,1934,6
2023/09/20,1945.599976,1945.599976,1929.199951,1945.599976,119
2023/09/21,1919.199951,1924,1919.199951,1924,9
2023/09/22,1925.400024,1925.400024,1925.400024,1925.400024,1
2023/09/25,1916.599976,1916.599976,1916.599976,1916.599976,114
2023/09/26,1900.400024,1905.099976,1900.400024,1905,161
2023/09/27,1871.599976,1871.599976,1871.599976,1871.599976,12251
2023/09/28,1860.400024,1878.199951,1856.699951,1875.5,4654
2023/09/29,1848.099976,1872.300049,1846,1864.300049,1605
2023/10/02,1830,1845.900024,1826.699951,1844.099976,2309
2023/10/03,1824.599976,1830.900024,1816.800049,1825,310
2023/10/04,1818.5,1828.199951,1816.400024,1821.800049,357
2023/10/05,1816.599976,1826.300049,1815.599976,1826.300049,393
2023/10/06,1830.199951,1831.800049,1809.400024,1819,390
2023/10/09,1849.5,1861.5,1842.5,1842.5,232
2023/10/10,1861,1861.400024,1852.800049,1857,236
2023/10/11,1872.800049,1874.599976,1869.099976,1869.5,65
2023/10/12,1869.300049,1881.199951,1867,1874.699951,46
2023/10/13,1927.400024,1930.099976,1877.5,1877.5,43
2023/10/16,1921.099976,1921.099976,1910.300049,1910.400024,53
2023/10/17,1922.699951,1925.800049,1914.300049,1914.300049,103
2023/10/18,1955.300049,1957.900024,1935,1935,67
2023/10/19,1968.400024,1977.699951,1945.699951,1950.099976,1945
2023/10/20,1982.5,1988.599976,1980.400024,1981.099976,557
2023/10/23,1976.300049,1978.900024,1972.900024,1976.199951,127
2023/10/24,1975,1975,1970.300049,1970.300049,10
2023/10/25,1984.099976,1985.300049,1971.199951,1971.199951,97
2023/10/26,1987.199951,1988.199951,1980.400024,1988.199951,521
2023/10/27,1988.599976,1988.599976,1988.599976,1988.599976,372
2023/10/30,1996.199951,2004.099976,1992.5,2004.099976,157
2023/10/31,1985.199951,2001,1983.699951,1996.5,84
2023/11/01,1978.800049,1990.5,1977.800049,1990.5,41
2023/11/02,1985.599976,1990.300049,1979.5,1989.099976,39
2023/11/03,1991.5,1991.5,1989,1989,12
2023/11/06,1981.599976,1981.599976,1977.400024,1981.599976,130
2023/11/07,1966.800049,1966.800049,1960.699951,1966.5,20
2023/11/08,1951.5,1967.800049,1947.699951,1967.800049,43
2023/11/09,1964.199951,1964.199951,1945.300049,1951.699951,10
2023/11/10,1932.599976,1959.599976,1932.599976,1959.599976,375
2023/11/13,1945.5,1947.199951,1934,1939.900024,191
2023/11/14,1961.800049,1965.800049,1961.800049,1965.800049,2
2023/11/15,1960.099976,1962.800049,1960,1962.800049,6
2023/11/16,1983.900024,1983.900024,1964.599976,1965.300049,39
2023/11/17,1981.599976,1984,1979.800049,1982.5,32
2023/11/20,1977.699951,1979.400024,1969.699951,1978.699951,182
2023/11/21,1999.300049,2005.5,1988.5,1990.699951,16
2023/11/22,1991.400024,1999.400024,1991,1999.099976,6075
2023/11/24,2002.199951,2002.199951,1991.5,1991.900024,63
2023/11/27,2011.800049,2011.800049,2011.699951,2011.699951,228
2023/11/28,2039.699951,2042.699951,2039.699951,2040.599976,174665
2023/11/29,2047.099976,2052.100098,2036,2041.699951,15290
2023/11/30,2038.099976,2047.099976,2033.099976,2046.099976,2506
2023/12/01,2071,2073.199951,2036,2038.300049,614
2023/12/04,2024.099976,2130.199951,2021,2075.300049,1071
2023/12/05,2018.5,2037,2010.199951,2035.099976,289
2023/12/06,2030.5,2035.800049,2019,2019.900024,417
2023/12/07,2029.900024,2034.900024,2024,2029.199951,67
2023/12/08,1998.300049,2033.099976,1995,2031.699951,449
2023/12/11,1978,2004.199951,1977.199951,2004.099976,651
2023/12/12,1977.800049,1994.199951,1977.800049,1984.199951,95
2023/12/13,1982.300049,2024.800049,1975,1978.5,2252
2023/12/14,2030.199951,2040.099976,2024.300049,2024.699951,236
2023/12/15,2021.099976,2043.400024,2018.300049,2032.599976,261
2023/12/18,2026.300049,2032.800049,2024,2024.300049,100
2023/12/19,2038.400024,2042.699951,2025.199951,2025.199951,498
2023/12/20,2034.5,2037.099976,2030.300049,2037.099976,258
2023/12/21,2039.099976,2044.5,2033,2035.800049,228
2023/12/22,2057.100098,2068.699951,2052.199951,2055.699951,202
2023/12/26,2058.199951,2060.800049,2054.199951,2060,64
2023/12/27,2081.899902,2081.899902,2064.800049,2067.300049,586
2023/12/28,2073.899902,2087.300049,2066.5,2081.600098,338
2023/12/29,2062.399902,2068.899902,2062.100098,2068,47
2024/01/02,2064.399902,2073.699951,2057.100098,2063.5,61
2024/01/03,2034.199951,2044,2034.199951,2034.199951,54
2024/01/04,2042.300049,2044.5,2038,2041.599976,88
2024/01/05,2042.400024,2048.100098,2042.400024,2044.5,12
2024/01/08,2026.599976,2033.699951,2019.099976,2019.099976,10
2024/01/09,2026.400024,2035.800049,2026.400024,2035.800049,27
2024/01/10,2021.699951,2035.599976,2021.699951,2029,538
2024/01/11,2014.300049,2025.099976,2014.300049,2025.099976,97
2024/01/12,2046.699951,2057,2031.099976,2031.099976,390
2024/01/16,2026,2054.800049,2026,2051.699951,46
2024/01/17,2002.599976,2026.5,2002.599976,2026.5,764
2024/01/18,2018.599976,2018.599976,2009.5,2012.800049,1474
2024/01/19,2026.5,2036,2019.5,2023.199951,50
2024/01/22,2019.800049,2021.300049,2019.800049,2021.300049,12
2024/01/23,2023.699951,2030.300049,2022.5,2030.300049,15
2024/01/24,2013.900024,2033.199951,2013.900024,2023.199951,253
2024/01/25,2016.900024,2022.400024,2012.099976,2012.099976,548
2024/01/26,2016.800049,2022.400024,2016.800049,2021.699951,49
2024/01/29,2025.199951,2025.199951,2025.199951,2025.199951,150708
2024/01/30,2031.5,2048.5,2028.099976,2032.5,26907
2024/01/31,2048.399902,2055,2030,2035.400024,2007
2024/02/01,2053,2064.5,2029,2040.199951,947
2024/02/02,2036.099976,2055.899902,2027.699951,2054.800049,888
2024/02/05,2025.699951,2040.800049,2013.800049,2038.900024,412
2024/02/06,2034.5,2037.300049,2025.900024,2025.900024,249
2024/02/07,2035.199951,2039.5,2032.699951,2032.800049,71
2024/02/08,2032.199951,2036.699951,2020.300049,2028,341
2024/02/09,2023.300049,2032,2020,2032,62
2024/02/12,2018.199951,2025.5,2011.599976,2025.5,317
2024/02/13,1992.900024,2025.800049,1990,2025.099976,198
2024/02/14,1990.300049,1993.5,1984.800049,1990.300049,1916
2024/02/15,2002.099976,2007.199951,1993.599976,1993.599976,286
2024/02/16,2011.5,2011.5,1996.5,2005,32
2024/02/20,2027.5,2029,2015.599976,2015.599976,1326
2024/02/21,2022.300049,2028.199951,2022.300049,2028.199951,15
2024/02/22,2019.699951,2033.199951,2019.699951,2033.199951,964
2024/02/23,2038.599976,2038.599976,2014.900024,2026,22
2024/02/26,2028.5,2035.400024,2024.800049,2034.099976,143
2024/02/27,2034,2035.900024,2034,2035.900024,964
2024/02/28,2033,2037,2024.800049,2029.5,581
2024/02/29,2045.699951,2049.800049,2034.300049,2034.300049,706
2024/03/01,2086.899902,2086.899902,2041.800049,2043.099976,1210
2024/03/04,2117.699951,2119.800049,2080.699951,2083.600098,805
2024/03/05,2133.5,2133.5,2111.399902,2114.899902,1287
2024/03/06,2150.300049,2150.300049,2125.5,2125.5,443
2024/03/07,2158,2163,2147,2147,152
2024/03/08,2178.600098,2194.899902,2166.300049,2167.300049,259
2024/03/11,2182.5,2184,2177.199951,2181,738
2024/03/12,2160.399902,2182.699951,2160.399902,2182.5,550
2024/03/13,2175.399902,2175.399902,2162.5,2162.5,20
2024/03/14,2163,2163,2162.300049,2163,515
2024/03/15,2157.300049,2161.699951,2157.300049,2161.699951,100
2024/03/18,2160.699951,2160.699951,2146.199951,2146.199951,21
2024/03/19,2156.300049,2156.300049,2156.100098,2156.100098,12
2024/03/20,2157.899902,2185.899902,2150.899902,2157.300049,17
2024/03/21,2182.399902,2211.600098,2182.399902,2207,63
2024/03/22,2158.100098,2179.600098,2157.5,2179.199951,19
2024/03/25,2174.800049,2179.399902,2166.199951,2166.199951,79
2024/03/26,2175.600098,2182.699951,2175.600098,2182.699951,202373
2024/03/27,2190.600098,2196.199951,2172.100098,2179.399902,31200
2024/03/28,2217.399902,2234.100098,2187.100098,2193.600098,2040
2024/04/01,2236.5,2264.199951,2230,2235.699951,400
2024/04/02,2261,2279.199951,2247.600098,2252,435
2024/04/03,2294.399902,2298.800049,2267.899902,2281.699951,285
2024/04/04,2288.800049,2302.899902,2280,2301.699951,251
2024/04/05,2325.699951,2328.399902,2267.399902,2289.199951,344
2024/04/08,2331.699951,2341.800049,2319,2325.600098,202
2024/04/09,2343.5,2364.699951,2337.800049,2337.800049,211
2024/04/10,2329.600098,2358.100098,2327.699951,2346.600098,377
2024/04/11,2354.800049,2376.300049,2330.600098,2341.5,283
2024/04/12,2356.199951,2429,2334.300049,2377.300049,584
2024/04/15,2365.800049,2384.699951,2326,2362.100098,1801
2024/04/16,2390.800049,2390.800049,2371.399902,2384,41
2024/04/17,2371.699951,2391.399902,2369.300049,2384.199951,37
2024/04/18,2382.300049,2384.399902,2368.399902,2368.399902,128
2024/04/19,2398.399902,2399.800049,2377.300049,2379.300049,160
2024/04/22,2332.199951,2383.300049,2326.899902,2383.300049,53
2024/04/23,2327.699951,2330.800049,2294.199951,2327.699951,171
2024/04/24,2324.5,2328.699951,2314.600098,2321.300049,95
2024/04/25,2329.800049,2329.800049,2305,2315,1024
2024/04/26,2334.800049,2347.899902,2332.800049,2347.899902,717
2024/04/29,2345.399902,2345.5,2327.899902,2334.800049,405
2024/04/30,2291.399902,2322.5,2291.399902,2322.5,113
2024/05/01,2299.899902,2327.300049,2283.800049,2287.699951,42
2024/05/02,2299.199951,2324.699951,2292.300049,2321.699951,56
2024/05/03,2299,2301,2277.600098,2300,194
2024/05/06,2321.600098,2325.5,2314.199951,2322.800049,9
2024/05/07,2315.199951,2324.300049,2315.199951,2324.300049,25
2024/05/08,2313.600098,2313.600098,2313.600098,2313.600098,4
2024/05/09,2332.100098,2339.5,2310.699951,2310.699951,5
2024/05/10,2367.300049,2367.300049,2367.300049,2367.300049,126
2024/05/13,2336.100098,2358.300049,2336.100098,2358.300049,14
2024/05/14,2353.399902,2358,2336,2336,6
2024/05/15,2388.699951,2388.699951,2356,2361.600098,29
2024/05/16,2380,2392.199951,2380,2389.5,7
2024/05/17,2412.199951,2415.800049,2380.699951,2380.699951,213
2024/05/20,2433.899902,2435.800049,2409.699951,2415.800049,40
2024/05/21,2421.699951,2429.5,2421,2429.5,6
2024/05/22,2389.199951,2417.600098,2375.800049,2417.5,180
2024/05/23,2335,2371.199951,2335,2371.199951,365
2024/05/24,2332.5,2345.399902,2332.5,2342.600098,25
2024/05/28,2355.199951,2359.699951,2336.899902,2336.899902,26
2024/05/29,2340.300049,2340.300049,2340.300049,2340.300049,119317
2024/05/30,2342.899902,2349.5,2320.800049,2336.899902,32587
2024/05/31,2322.899902,2354,2319,2344.100098,941
2024/06/03,2346.600098,2347.5,2312,2322.600098,781
2024/06/04,2325.5,2347.699951,2313.899902,2347.5,890
2024/06/05,2354.100098,2354.300049,2326.199951,2326.399902,295
2024/06/06,2370.300049,2375.800049,2355,2355,179
2024/06/07,2305.199951,2385.100098,2285.399902,2379.899902,269
2024/06/10,2307.699951,2309.300049,2290.5,2290.600098,69
2024/06/11,2307.5,2314.100098,2300,2300,871
2024/06/12,2336,2338.699951,2310.300049,2314.899902,132
2024/06/13,2300.199951,2317.699951,2296.199951,2309.399902,298
2024/06/14,2331.399902,2331.399902,2305.800049,2307,948
2024/06/17,2312.399902,2320.199951,2309.600098,2320.199951,110
2024/06/18,2330.399902,2330.399902,2311.800049,2311.800049,43
2024/06/20,2353.800049,2354,2328.300049,2328.899902,183
2024/06/21,2316.399902,2331.199951,2316.399902,2331.199951,76
2024/06/24,2330,2332.899902,2322.699951,2323.300049,99
2024/06/25,2316.600098,2333,2316.600098,2324.399902,105
2024/06/26,2299.199951,2314.399902,2298,2307.899902,986
2024/06/27,2324.5,2329,2295,2296.800049,1532
2024/06/28,2327.699951,2338.300049,2319,2325.399902,92
2024/07/01,2327.600098,2329.699951,2321.699951,2323.800049,237
2024/07/02,2323,2334.600098,2323,2330.699951,30
2024/07/03,2359.800049,2361.600098,2330.899902,2330.899902,59
2024/07/05,2388.5,2388.5,2354.899902,2354.899902,72
2024/07/08,2355.199951,2383.800049,2352.800049,2381.699951,64
2024/07/09,2360.100098,2363.699951,2360.100098,2363.100098,9
2024/07/10,2372.199951,2377,2365.800049,2366.300049,19
